bentuk_pendidikan,nama,npsn,status,alamat,desa,kecamatan,lintang,bujur
SD,SD No. 3 Kekeran,50103578,Negeri,Br Penyarikan Kekeran,Kekeran,Mengwi,-8.5542,115.1739
SD,SD No. 3 Kuwum,50103396,Negeri,Br Balangan,Kuwum,Mengwi,-8.4819,115.1888
SD,SD No. 3 Lukluk,50103581,Negeri,Lingkungan Br Badung,Lukluk,Mengwi,-8.5806,115.1897
SD,SD No. 3 Mengwi,50101744,Negeri,Br Gambang,Mengwi,Mengwi,-8.5457,115.1676
SD,SD No. 3 Mengwitani,50101833,Negeri,"Br. Culag Calig,MENGWITANI",Mengwitani,Mengwi,-8.5505,115.1674
SD,SD No. 3 Munggu,50103583,Negeri,"Br. Gambang, Munggu",Munggu,Mengwi,-8.6147,115.1276
SD,SD No. 3 Penarungan,50101811,Negeri,Br. Guming,Penarungan,Mengwi,-8.5412,115.2054
SD,SD No. 3 Sading,50101813,Negeri,Umahanyar,Sading,Mengwi,-8.6004,115.2005
SD,SD No. 3 Sembung,50103397,Negeri,Lingkungan Karangjung,Sembung,Mengwi,-8.4655,115.186
SD,SD No. 3 Sempidi,50101816,Negeri,Lingkungan Umagunung,Sempidi,Mengwi,-8.6062,115.1822
SD,SD No. 3 Sobangan,50101818,Negeri,Br. Selat Desa Sobangan,Sobangan,Mengwi,-8.503,115.1832
SD,SD No. 3 Werdi Bhuwana,50101849,Negeri,Br Sayan Delodan,Werdi Bhuwana,Mengwi,-8.5519,115.1763
SD,SD No. 4 Cemagi,50101848,Negeri,Jl Bay Pas Munggu Tanah Lot,Cemagi,Mengwi,-8.6152,115.1273
SD,SD No. 4 Gulingan,50103587,Negeri,Br. Angkeb Canging,Gulingan,Mengwi,-8.5394,115.1763
SD,SD No. 4 Kapal,50101838,Negeri,"Br. Peken Baleran, Kapal",Kapal,Mengwi,-8.5683,115.1802
SD,SD No. 4 Lukluk,50103590,Negeri,Lingk. Br. Perang Alas,Lukluk,Mengwi,-8.5787,115.194
SD,SD No. 4 Mengwi,50101843,Negeri,"Jln. Wibisana,br. Pregae",Mengwi,Mengwi,-8.5436,115.1647
SD,SD No. 4 Mengwitani,50101844,Negeri,"Br Dinas Pupuan, Mengwitani, Mengwi, Badung, Bali.",Mengwitani,Mengwi,-8.5602,115.1719
SD,SD No. 4 Penarungan,50101554,Negeri,Br Bantas,Penarungan,Mengwi,-8.5335,115.1968
SD,SD No. 4 Sading,50101570,Negeri,Jln. Raya Sading No. 8 Sading,Sading,Mengwi,-8.6055,115.1921
SD,SD No. 4 Sembung,50103398,Negeri,Br Tauman,Sembung,Mengwi,-8.475,115.1842
SD,SD No. 5 Gulingan,50103592,Negeri,Br. Ulun Uma,Gulingan,Mengwi,-8.5394,115.1933
SD,SD No. 5 Kapal,50101565,Negeri,Br. Ganggasari,Kapal,Mengwi,-8.5709,115.1781
SD,SD No. 5 Mengwitani,50101597,Negeri,Br Jumpayah,Mengwitani,Mengwi,-8.5714,115.1653
SD,SD No. 6 Gulingan,50103594,Negeri,Br.batulumbung,Gulingan,Mengwi,-8.5486,115.1741
SD,SD No. 6 Kapal,50101518,Negeri,Br.tegal Saat,Kapal,Mengwi,-8.5821,115.1693
SD,SD BIMS,50103887,Swasta,Br. Gede Abianbase,Abianbase,Mengwi,-8.6049,115.162
SD,SD Taman Tirta,69937734,Swasta,"Jl. Ratna, No. 5, Br. Tengah Kelod, Gulingan, Mengwi",Gulingan,Mengwi,-8.5467,115.1817
SD,SD No. 1 Belok,50101762,Negeri,Br. Belok,BELOK/SIDAN,Petang,-8.2948,115.2391
SD,SD No. 1 Carangsari,50101768,Negeri,Br Pemijian,Carangsari,Petang,-8.4505,115.2213
SD,SD No. 1 Getasan,50103599,Negeri,Br Kauh,Getasan,Petang,-8.4338,115.2231
SD,SD No. 1 Pangsan,50103600,Negeri,Br Sekarmukti,Pangsan,Petang,-8.4246,115.2231
SD,SD No. 1 Pelaga,50101790,Negeri,"Jl. Raya Pucak Mangu, Banjar Pelaga",Pelaga,Petang,-8.2943,115.2254
SD,SD No. 1 Petang,50101793,Negeri,"Br. Petang Suci, Desa Petang",Petang,Petang,-8.3899,115.2197
SD,SD No. 1 Sulangai,50103601,Negeri,BR.SULANGAI,Sulangai,Petang,-8.3527,115.206
SD,SD No. 2 Belok,50101743,Negeri,Br. Jempanang,BELOK/SIDAN,Petang,-8.269,115.2327
SD,SD No. 2 Carangsari,50103602,Negeri,Br. Samuan Kawan,Carangsari,Petang,-8.4611,115.2166
SD,SD No. 2 Getasan,50103603,Negeri,Br Ubud,Getasan,Petang,-8.4369,115.2225
SD,SD No. 2 Pangsan,50103604,Negeri,Br Pangsan,Pangsan,Petang,-8.4143,115.2218
SD,SD No. 2 Pelaga,50101868,Negeri,Br Tiyingan,Pelaga,Petang,-8.2908,115.2118
SD,SD No. 2 Petang,50101870,Negeri,Br. Kerta,Petang,Petang,-8.3978,115.221
SD,SD No. 2 Sulangai,50103605,Negeri,Br. Batulantang,Sulangai,Petang,-8.3514,115.2161
SD,SD No. 3 Belok,50101886,Negeri,Jl. Raya Belok Sidan,BELOK/SIDAN,Petang,-8.322,115.2395
SD,SD No. 3 Carangsari,50101893,Negeri,Br Telugtug,Carangsari,Petang,-8.4538,115.2291
SD,SD No. 3 Pangsan,50101823,Negeri,Br. Kasianan,Pangsan,Petang,-8.4159,115.2245
SD,SD No. 3 Pelaga,50101821,Negeri,Br. Nungnung Pelaga,Pelaga,Petang,-8.317,115.2198
SD,SD No. 3 Petang,50101812,Negeri,Br. Lipah,Petang,Petang,-8.3785,115.2103
SD,SD No. 3 Sulangai,50101819,Negeri,Br. Abing,Sulangai,Petang,-8.3571,115.2129
SD,SD No. 4 Belok,50101852,Negeri,Banjar Bon,BELOK/SIDAN,Petang,-8.2496,115.2358
SD,SD No. 4 Pelaga,50101859,Negeri,Br Auman Pelaga,Pelaga,Petang,-8.3142,115.2134
SD,SD No. 4 Sulangai,50103606,Negeri,Br.Sandakan,Sulangai,Petang,-8.3538,115.2287
SD,SD No. 5 Belok,50101568,Negeri,Br Lawak,BELOK/SIDAN,Petang,-8.2676,115.2421
SD,SD No. 5 Carangsari,50101559,Negeri,Carangsari,Carangsari,Petang,-8.4488,115.2185
SD,SD No. 5 Pelaga,50101599,Negeri,Br. Semanik,Pelaga,Petang,-8.2783,115.2115
SD,SD No. 6 Belok,50101585,Negeri,Br Penikit,BELOK/SIDAN,Petang,-8.3458,115.2345
KB,KB Adnyani,69911962,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,KB Goval Kanthi Kumara,69912467,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,KB KUMARA DHARMA KERTI II,69878388,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,KB PAUD RARE KUMARA,69954321,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,KB SEKAR ALIT,69953310,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,KB Werdhi Kumara I Punggul,69932579,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,KB WIDYA CHANDRA,69878381,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,KB WIDYA KUMARAYASA,69878378,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,PAUD AYUANA,69878380,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,PAUD KUMARA SARI II SELAT,69878386,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
PKBM,PKBM WIDYA CHANDRA,P9948363,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
SMP,SMP NEGERI 1 ABIANSEMAL,50101650,Negeri,-,NULL,Abiansemal,-8.603966,115.1770912
SMP,SMP NEGERI 2 ABIANSEMAL,50101643,Negeri,-,NULL,Abiansemal,-8.603966,115.1770912
SMP,SMP NEGERI 3 ABIANSEMAL,50101635,Negeri,-,NULL,Abiansemal,-8.603966,115.1770912
SMP,SMP NEGERI 4 ABIANSEMAL,50101639,Negeri,-,NULL,Abiansemal,-8.603966,115.1770912
SMP,SMP Negeri 5 Abiansemal,69979113,Negeri,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK NEGERI PEMBINA ABIANSEMAL,50104736,Negeri,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK BALI PUTRA,50104662,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK Candra Nata Kumara,69920737,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK DEWI GANDAWATI,50104691,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK DEWI GANGGA,50104672,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK DEWI SARTIKA MEKAR BHUANA,50104675,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK DHARMAWANGSA,50104685,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK DUTA KUSUMA PERTIWI,50104642,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK ERAWAN,50104688,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK GATOT KACA,50104692,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK Goval Kanthi Kumara,69912468,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK KUMARA DHARMA KERTI II,69950424,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK KUMARA PAKSIKA,50104714,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK KUMARA SARI II,50104716,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK KUNTALA DEWI I,50104724,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK KUNTALA DEWI II,50104725,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK KUNTALA DEWI III,50104726,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK KUNTALA DEWI IV,50104723,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK MANUARA KERTI,50104730,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK MANUARA KIRANA,69878325,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK PRAWIDIA DHARMA KUMARA MAMBAL,50104640,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK SANTIKA DEWI,50104654,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
